layer	phase	total	max_share	k16	k32	k48	k64	k96	k128
23	decode	1536	0.0957	0.4271	0.5911	0.6966	0.7734	0.8822	0.9401
24	decode	1536	0.0898	0.6263	0.7695	0.8503	0.9069	0.9681	0.9909
25	decode	1536	0.1419	0.6536	0.7852	0.8535	0.8984	0.9538	0.9811
26	decode	1536	0.0866	0.6159	0.7415	0.8132	0.8626	0.9329	0.9714
27	decode	1536	0.0723	0.4818	0.6367	0.7279	0.7949	0.8841	0.9414
28	decode	1536	0.0859	0.5417	0.6784	0.7715	0.8366	0.9108	0.9564
29	decode	1536	0.1126	0.5632	0.7109	0.7923	0.8503	0.9206	0.9648
30	decode	1536	0.0684	0.4486	0.6003	0.7057	0.7852	0.8835	0.9466
31	decode	1536	0.0729	0.5671	0.7116	0.7975	0.8548	0.9329	0.9746
32	decode	1536	0.0911	0.5553	0.6882	0.7643	0.8249	0.9128	0.9616
33	decode	1536	0.0638	0.4642	0.6432	0.7507	0.8229	0.9173	0.9681
34	decode	1536	0.0898	0.5332	0.6803	0.7754	0.8424	0.9284	0.9714
35	decode	1536	0.1035	0.5690	0.7070	0.7956	0.8574	0.9368	0.9746
36	decode	1536	0.1283	0.5404	0.6875	0.7747	0.8353	0.9199	0.9714
37	decode	1536	0.1074	0.5618	0.7025	0.7852	0.8503	0.9323	0.9720
38	decode	1536	0.1107	0.5547	0.6862	0.7715	0.8372	0.9245	0.9720
39	decode	1536	0.1087	0.5078	0.6517	0.7513	0.8249	0.9173	0.9655
